Date,Open,High,Low,Close,Adj Close,Volume
2019-07-24,25.500000,25.629999,25.200001,25.330000,25.330000,14583931
2019-07-25,25.370001,25.559999,25.160000,25.400000,25.400000,10834694
2019-07-26,25.360001,25.610001,25.200001,25.299999,25.299999,9988540
2019-07-29,25.309999,25.370001,24.549999,24.650000,24.650000,19606480
2019-07-30,24.600000,25.809999,24.510000,25.719999,25.719999,25810141
2019-07-31,25.500000,25.600000,24.680000,24.780001,24.780001,26829935
2019-08-01,24.000000,24.680000,23.790001,24.469999,24.469999,26398119
2019-08-02,23.780001,24.350000,23.719999,24.110001,24.110001,14686143
2019-08-05,24.020000,24.570000,23.879999,23.889999,23.889999,16211164
2019-08-06,23.420000,23.870001,23.139999,23.690001,23.690001,15401587
2019-08-07,23.900000,23.959999,23.430000,23.459999,23.459999,11325900
2019-08-08,23.590000,23.930000,23.480000,23.780001,23.780001,10486212
2019-08-09,23.920000,24.290001,23.750000,24.020000,24.020000,12361448
2019-08-12,24.020000,24.590000,23.900000,24.559999,24.559999,10804174
2019-08-13,24.299999,24.639999,23.980000,24.180000,24.180000,9762551
2019-08-14,24.530001,24.790001,24.240000,24.549999,24.549999,12977879
2019-08-15,24.100000,24.780001,24.040001,24.700001,24.700001,13064493
2019-08-16,24.750000,25.110001,24.389999,24.540001,24.540001,20359718
2019-08-19,24.549999,25.170000,24.440001,25.110001,25.110001,22550113
2019-08-20,25.200001,25.270000,24.750000,24.969999,24.969999,13395250
2019-08-21,24.850000,24.980000,24.510000,24.559999,24.559999,13695614
2019-08-22,24.559999,25.020000,24.559999,24.790001,24.790001,10847842
2019-08-23,24.930000,25.840000,24.650000,25.590000,25.590000,27386788
2019-08-26,25.420000,27.200001,25.420000,26.639999,26.639999,38972856
2019-08-27,26.770000,27.200001,26.510000,26.670000,26.670000,29415763
2019-08-28,27.030001,27.379999,26.379999,26.799999,26.799999,26455720
2019-08-29,27.190001,27.200001,26.540001,26.700001,26.700001,14563512
2019-08-30,26.850000,27.139999,26.540001,26.920000,26.920000,19828325
2019-09-02,26.910000,27.879999,26.660000,27.740000,27.740000,28758677
2019-09-03,27.799999,27.799999,27.219999,27.330000,27.330000,18231129
2019-09-04,27.330000,27.400000,26.360001,26.790001,26.790001,25217812
2019-09-05,26.840000,27.620001,26.740000,27.379999,27.379999,27606484
2019-09-06,27.430000,27.620001,26.860001,27.389999,27.389999,14683311
2019-09-09,27.549999,27.639999,27.100000,27.600000,27.600000,19253207
2019-09-10,27.500000,28.549999,27.299999,28.379999,28.379999,25401562
2019-09-11,28.590000,28.590000,27.660000,27.690001,27.690001,15371048
2019-09-12,27.879999,27.950001,27.350000,27.680000,27.680000,10786296
2019-09-16,27.850000,28.320000,27.600000,28.059999,28.059999,12358752
2019-09-17,27.799999,27.900000,26.889999,26.969999,26.969999,17227034
2019-09-18,26.780001,27.190001,26.330000,26.600000,26.600000,14743354
2019-09-19,26.709999,26.889999,26.500000,26.850000,26.850000,10562415
2019-09-20,26.900000,27.160000,26.590000,26.780001,26.780001,12104064
2019-09-23,26.600000,26.639999,25.709999,25.980000,25.980000,17299248
2019-09-24,26.000000,28.139999,26.000000,27.520000,27.520000,45666321
2019-09-25,27.600000,27.959999,27.180000,27.469999,27.469999,24827658
2019-09-26,27.480000,27.750000,25.809999,25.879999,25.879999,31154852
2019-09-27,25.969999,25.980000,25.010000,25.580000,25.580000,15170235
2019-09-30,25.590000,25.860001,25.000000,25.059999,25.059999,12213996
2019-10-08,25.129999,26.230000,25.129999,26.070000,26.070000,18354440
2019-10-09,26.100000,26.650000,25.760000,26.410000,26.410000,10335715
2019-10-10,26.469999,26.760000,26.150000,26.620001,26.620001,9706171
2019-10-11,26.700001,26.850000,26.389999,26.530001,26.530001,9617802
2019-10-14,27.000000,27.530001,26.850000,27.209999,27.209999,12788277
2019-10-15,27.430000,28.139999,27.250000,27.540001,27.540001,20209633
2019-10-16,27.690001,27.950001,27.379999,27.540001,27.540001,13260346
2019-10-17,27.650000,27.790001,27.059999,27.510000,27.510000,10880279
2019-10-18,27.469999,28.620001,27.309999,27.940001,27.940001,26117190
2019-10-21,28.150000,28.350000,26.940001,28.000000,28.000000,16897724
2019-10-22,27.780001,28.030001,27.330000,27.629999,27.629999,12845363
2019-10-23,27.650000,27.900000,26.799999,26.910000,26.910000,13913910
2019-10-24,26.910000,27.350000,26.719999,27.150000,27.150000,9522450
2019-10-25,27.270000,27.580000,26.930000,27.379999,27.379999,11350502
2019-10-28,26.959999,27.850000,26.959999,27.500000,27.500000,16745821
2019-10-29,27.620001,29.559999,27.520000,29.330000,29.330000,39908262
2019-10-30,29.270000,30.190001,28.889999,29.920000,29.920000,31707913
2019-10-31,29.969999,31.330000,29.700001,30.200001,30.200001,34817052
2019-11-01,30.209999,31.250000,30.209999,31.000000,31.000000,24693818
